Info3	hippocampus	kidney	spleen	liver	striatum	cerebellum	cortex	all
LOC498968	9460.75295267	492.0299987793	1005.3499755859	4201.3397840604	9439.944107196	2798.2932625005	6360.4944833906	6093.7418965583
Hoxa1	3812.0912405774	2741.1650390625	3313.0400390625	4211.6449173085	4099.5772572738	8999.0510954133	3941.3663926279	3957.0237757316
null	298.2011356032	238.265007019	565.9299926758	239.3955814831	348.0548499481	359.9410972307	283.9455629919	293.1692362583
null	1864.4822570528	1302.3499755859	1255.049987793	3464.9600277666	1536.9713898717	1923.2836151051	1865.570119097	1776.9134792636
null	211.1490407742	142.4099998474	124.6449966431	261.9662122895	188.0158901672	217.465815617	172.7911992081	180.1030164862
Ebna1bp2	1587.3694080979	755.0650024414	666.2949829102	338.2927169167	441.9625819085	1506.5178752221	1607.3395040558	1342.2165613385
null	1402.5503482693	158.4449958801	260.9499969482	684.2494012675	1603.5818725108	800.9688277288	1252.4915556118	1085.6115434669
Lsm8_predicted	66168.3091261554	12865.625	33671.30078125	15748.0551375282	14941.6908170084	20365.8058221319	30867.8025939499	27651.6024008629
Gpb5	243.283088138	298.8199996948	279.2350006104	234.6645156639	346.6983537696	313.0816978742	310.3871065676	305.1494598775
Id1	5775.2025136427	7746.1401367188	4097.5700683594	2006.9252569692	4219.2020874866	6722.1389155966	7945.7864160914	6482.9980500638
Pnma2_predicted	1474.6630185604	130.7649993896	382.2750015259	86.8808162422	1392.2486089539	456.2125313093	2035.4381592271	1409.5420567461
Ppp3ca	744001.174549167	25111.634765625	35118.984375	21657.2215804675	483365.104882299	307249.399104135	431256.229772464	391354.410678225
Tdrd7	12907.782195526	5898.7351074219	10690.1049804687	11181.0520222282	7611.4846292313	10183.8553953774	11868.9112296731	11497.3988058971
null	288.9348599388	220.265007019	728.7800216675	223.8855655803	266.2489490056	159.3805975215	419.6898286744	282.9979814193
null	207.3692145761	239.3300018311	193.685005188	337.3268749864	196.2016027505	384.1376905749	241.1670811411	228.9385103887
null	177.6207818125	167.7450027466	179.0299987793	131.3431622102	189.0512767993	175.4444896874	197.6744837667	177.9421215232
Hdac1	17109.3195273561	15240.1899414063	31398.69921875	10530.8561810282	8502.0510671431	20263.8704877655	17997.7619788853	17404.0780025065
Qpc	203.9371717503	391.9150085449	280.1549987793	191.6562811046	357.7822555729	280.0209823046	264.9943707159	249.1079757289
LOC499787	999.0361892069	280.6600036621	350.3300018311	725.4539374823	774.2325240459	747.4467815749	1376.5307261112	985.8014179107
LOC501539	367.3862220665	224.0449981689	2019.5299682617	412.0545194021	472.7453525766	659.4794825481	442.8680435897	442.5110040089
Bcl3_predicted	209.3622276292	153.3450012207	288.2050018311	168.0126840826	137.6944048797	219.184717891	256.3185566107	218.8102514998
RGD1311960_predicted	13394.9484763433	298.6449966431	3528.0350952149	1112.8700612664	6006.1603120613	5446.420583396	7187.3368606097	6522.4578771154
null	158.7358794564	77.1649971008	202.5149917603	53.9021218911	80.036645179	114.2720751219	133.3513965069	126.2054875906
null	218.6092533585	188.4149932861	189.1949996948	203.2299634202	276.7411068029	329.7727857965	264.679586837	230.2131705543
